x,y,z,yaw,velocity,change_flag
106.1074,-68.4147,19.7426,1.9689,0,0
105.7289,-67.4567,19.6238,1.9925,5.0745,0
105.3187,-66.4828,19.5012,2.0210,7.1021,0
104.8353,-65.4452,19.3674,2.0534,8.6470,0
104.3799,-64.5140,19.2564,2.0797,9.8542,0
103.8565,-63.5089,19.0830,2.1064,10.2052,0
103.2820,-62.4643,18.9299,2.1300,11.2292,0
102.6416,-61.3454,18.7382,2.1480,11.6950,0
102.1126,-60.4809,18.6140,2.1561,12.2844,0
101.5767,-59.5854,18.4927,2.1620,12.6514,0
100.9852,-58.6437,18.3410,2.1679,13.5765,0
100.3911,-57.6745,18.2061,2.1725,13.6280,0
99.7764,-56.6591,18.0334,2.1760,14.6521,0
99.1119,-55.6418,17.8466,2.1785,14.7742,0
98.4492,-54.5616,17.6738,2.1809,15.3429,0
97.7287,-53.4634,17.5118,2.1837,15.6155,0
97.0519,-52.3837,17.3243,2.1870,15.4176,0
96.3442,-51.3061,17.1371,2.1909,15.5436,0
95.6147,-50.1838,16.9665,2.1931,16.2263,0
94.8702,-49.0397,16.7919,2.1957,16.6042,0
94.0992,-47.8628,16.6081,2.1995,16.7686,0
93.3031,-46.6793,16.4148,2.2067,17.0690,0
92.4744,-45.4801,16.2187,2.2114,17.7694,0
91.6545,-44.2548,16.0254,2.2172,17.7426,0
91.0762,-43.4291,15.8855,2.2208,18.2641,0
90.4884,-42.5939,15.7435,2.2247,18.3356,0
89.9158,-41.7583,15.6161,2.2291,18.1684,0
89.3349,-40.9222,15.4803,2.2334,18.2319,0
88.7346,-40.0875,15.3387,2.2375,18.5041,0
88.1219,-39.2424,15.1981,2.2414,18.9166,0
87.5133,-38.4088,15.0535,2.2452,18.4852,0
86.9068,-37.5841,14.9256,2.2486,18.4804,0
86.2900,-36.7512,14.7927,2.2513,18.6069,0
85.6693,-35.9166,14.6372,2.2553,18.7700,0
85.0407,-35.0745,14.4863,2.2588,19.0360,0
84.3913,-34.2233,14.3412,2.2625,19.3794,0
83.7431,-33.3803,14.1912,2.2677,19.0296,0
83.1164,-32.5561,14.0352,2.2723,18.5253,0
82.4744,-31.7322,13.8988,2.2772,18.9802,0
81.8150,-30.8998,13.7604,2.2808,18.9211,0
81.1807,-30.1086,13.6203,2.2855,18.1142,0
80.2536,-28.9605,13.4173,2.2941,17.7070,0
79.3241,-27.8169,13.2230,2.3038,17.6256,0
78.4029,-26.7118,13.0227,2.3151,17.3361,0
77.5008,-25.6343,12.8339,2.3249,16.7597,0
76.5747,-24.5877,12.6594,2.3318,16.5254,0
75.6964,-23.5693,12.4721,2.3362,16.2194,0
74.8222,-22.5845,12.2633,2.3367,16.0903,0
73.9413,-21.5883,12.0955,2.3321,15.9429,0
73.1107,-20.6184,11.9292,2.3263,15.2398,0
72.2730,-19.6558,11.7378,2.3154,15.7203,0
71.4742,-18.6953,11.5806,2.3037,14.8712,0
70.6936,-17.7196,11.4188,2.2904,14.9325,0
69.9326,-16.7625,11.2346,2.2699,14.5321,0
69.2247,-15.8097,11.0992,2.2421,14.1282,0
68.5482,-14.8613,10.9557,2.2057,13.9218,0
67.9106,-13.8993,10.8321,2.1661,13.8689,0
67.3250,-12.9275,10.6867,2.1255,13.6383,0
66.7666,-11.9175,10.5426,2.0857,13.7897,0
66.2465,-10.8741,10.4121,2.0470,14.0645,0
65.7422,-9.7950,10.2953,2.0120,14.4588,0
65.3020,-8.7100,10.1654,1.9814,13.7462,0
64.8788,-7.6119,10.0466,1.9578,14.1612,0
64.5089,-6.5479,9.9346,1.9453,13.3123,0
64.1418,-5.4736,9.8285,1.9437,13.5968,0
63.7828,-4.4098,9.7100,1.9508,13.2776,0
63.4296,-3.3929,9.5792,1.9662,13.0652,0
63.0596,-2.3896,9.4711,1.9875,12.5652,0
62.6617,-1.4212,9.3770,2.0168,12.4538,0
62.2375,-0.4692,9.2507,2.0548,12.5882,0
61.8048,0.4924,9.1268,2.0999,12.9023,0
61.3124,1.4246,8.9897,2.1551,12.4691,0
60.7479,2.3464,8.8344,2.2165,13.1124,0
60.1245,3.2404,8.6635,2.2865,13.0611,0
59.3891,4.1055,8.4920,2.3624,13.7297,0
58.6200,4.9039,8.3380,2.4431,13.0510,0
57.7825,5.6602,8.1564,2.5296,13.8358,0
56.8613,6.3022,7.9924,2.6187,13.5079,0
55.9103,6.8638,7.7943,2.7079,13.3433,0
54.9172,7.3384,7.6371,2.8013,13.0732,0
53.8625,7.6916,7.4646,2.8930,13.7829,0
52.7797,7.9811,7.2837,2.9832,13.2842,0
51.7060,8.1639,7.1323,3.0762,13.1587,0
50.6010,8.2611,6.9731,-3.1127,13.4761,0
49.4635,8.2314,6.8276,-3.0192,13.8056,0
48.3432,8.1509,6.6870,-2.9269,13.5136,0
47.2348,7.9620,6.5462,-2.8377,13.3003,0
46.1507,7.6741,6.3960,-2.7502,13.5632,0
45.0940,7.2644,6.2907,-2.6588,13.8641,0
43.9896,6.7104,6.1754,-2.5613,15.1027,0
42.9646,6.0508,6.0440,-2.4634,14.2823,0
41.9863,5.3118,5.9663,-2.3651,14.8478,0
41.0819,4.5244,5.8888,-2.2665,14.4214,0
40.2555,3.5492,5.8463,-2.1636,15.3222,0
39.5280,2.5383,5.7902,-2.0637,15.0380,0
38.9120,1.4872,5.7953,-1.9659,14.1429,0
38.3680,0.3882,5.7835,-1.8739,14.7496,0
37.9622,-0.7793,5.7683,-1.7827,14.9627,0
37.6785,-1.9606,5.8168,-1.6911,14.2048,0
37.4809,-3.1701,5.8879,-1.5973,14.5086,0
37.3711,-4.4136,5.9395,-1.5031,14.6347,0
37.4554,-5.6072,6.0493,-1.4126,14.6593,0
37.6225,-6.8485,6.1719,-1.3182,15.2059,0
37.9157,-8.0628,6.2934,-1.2260,14.6779,0
38.2919,-9.1820,6.4324,-1.1344,14.1753,0
38.7778,-10.2392,6.5761,-1.0409,14.0226,0
39.3346,-11.2578,6.7723,-0.9487,14.0762,0
39.9958,-12.2031,6.9547,-0.8571,13.6613,0
40.7194,-13.0957,7.1501,-0.7636,13.9182,0
41.5476,-13.9096,7.3392,-0.6687,13.9025,0
42.4359,-14.6561,7.5306,-0.5743,14.0640,0
43.3943,-15.3064,7.7145,-0.4790,14.1446,0
44.4232,-15.8441,7.8855,-0.3862,13.7400,0
45.4954,-16.3042,8.0599,-0.2915,14.1589,0
46.5639,-16.6521,8.2098,-0.1988,13.2044,0
47.6819,-16.8882,8.3961,-0.1055,14.0358,0
48.7953,-17.0244,8.5478,-0.0131,13.1712,0
49.8911,-17.0486,8.6712,0.0820,13.2063,0
50.9891,-16.9632,8.8047,0.1759,13.2408,0
52.1187,-16.8028,8.9372,0.2712,13.8560,0
53.2078,-16.5153,9.0302,0.3662,13.5341,0
54.2778,-16.0824,9.1512,0.4612,13.9419,0
55.3359,-15.6020,9.2495,0.5529,13.8116,0
56.3004,-14.9686,9.3411,0.6468,13.6397,0
57.2168,-14.2798,9.4339,0.7435,13.7757,0
58.0763,-13.4979,9.4992,0.8401,14.1432,0
58.8976,-12.5859,9.5079,0.9384,14.2530,0
59.6222,-11.6961,9.5498,1.0344,13.7322,0
60.2324,-10.6646,9.5882,1.1297,14.4076,0
60.7055,-9.5144,9.5858,1.2201,15.1993,0
61.1316,-8.3487,9.5137,1.2949,14.6785,0
61.5189,-7.2017,9.5462,1.3418,14.4214,0
61.8357,-6.0137,9.5584,1.3778,14.8420,0
62.1339,-4.7905,9.5055,1.4028,15.0298,0
62.4034,-3.5574,9.4963,1.4086,15.1860,0
62.7090,-2.2715,9.4360,1.3999,15.8170,0
63.0088,-0.9687,9.3817,1.3835,15.8986,0
63.3475,0.3531,9.3335,1.3585,16.3966,0
63.7142,1.6876,9.3024,1.3251,16.3834,0
64.1345,3.0584,9.2614,1.2912,17.2196,0
64.5782,4.3940,9.2296,1.2577,16.3656,0
65.0862,5.7251,9.2180,1.2334,17.3859,0
65.5848,7.0490,9.2032,1.2199,16.3632,0
66.1482,8.3499,9.1934,1.2098,17.1832,0
66.7034,9.6604,9.1997,1.2015,16.6949,0
67.2692,10.9924,9.1778,1.1928,17.4341,0
67.8811,12.3351,9.1641,1.1902,17.7817,0
68.2820,13.2593,9.1726,1.1894,18.1906,0
68.7012,14.2137,9.1468,1.1896,18.5486,0
69.1314,15.1679,9.1348,1.1896,18.7924,0
69.5794,16.1227,9.1318,1.1909,18.8591,0
70.0133,17.0981,9.1185,1.1907,19.1486,0
70.4608,18.0883,9.1146,1.1908,19.4779,0
70.8970,19.0871,9.1147,1.1901,19.5201,0
71.3451,20.1036,9.0858,1.1891,19.8420,0
71.8081,21.1342,9.0955,1.1879,20.4286,0
72.2575,22.2014,9.0878,1.1857,20.9429,0
72.7311,23.2862,9.0677,1.1846,21.0860,0
73.2066,24.3465,9.0808,1.1838,20.6934,0
73.6745,25.3741,9.0658,1.1831,19.9481,0
74.1119,26.3689,9.0571,1.1821,19.3536,0
74.5644,27.3671,9.0506,1.1803,19.6525,0
75.0334,28.3785,9.0381,1.1786,19.8358,0
75.4860,29.3996,9.0238,1.1768,19.8424,0
75.9585,30.4086,9.0237,1.1752,19.8787,0
76.4209,31.3849,8.9938,1.1749,19.3115,0
76.8722,32.4098,8.9966,1.1727,20.3161,0
77.3664,33.4293,8.9767,1.1734,20.2467,0
77.8525,34.4691,8.9428,1.1741,20.5962,0
78.3327,35.5266,8.9212,1.1754,20.7221,0
78.8175,36.5600,8.8990,1.1778,20.3316,0
79.3014,37.6442,8.8533,1.1802,21.4952,0
79.8091,38.7721,8.8152,1.1823,22.1371,0
80.3187,39.8813,8.7916,1.1848,21.5985,0
80.8106,40.9742,8.7190,1.1887,21.4635,0
81.3018,42.0766,8.6930,1.1927,21.5512,0
81.7979,43.1999,8.6641,1.1968,22.0574,0
