x,y,z,yaw,velocity,change_flag
92.8636,408.5649,18.2635,1.5571,0,0
92.8745,409.6404,18.2818,1.6108,5.0386,0
92.8774,410.7805,18.3542,1.6646,7.9176,0
92.7951,411.9849,18.4083,1.7078,9.4219,0
92.6553,413.1429,18.3989,1.7306,10.7335,0
92.4987,414.4527,18.4375,1.7348,12.6262,0
92.3533,415.6136,18.4984,1.7287,14.3618,0
92.2011,416.7803,18.5748,1.7223,14.0078,0
92.0612,417.9959,18.6193,1.7159,14.9760,0
91.9085,419.3073,18.6207,1.7084,15.8801,0
91.7778,420.6898,18.6637,1.6997,16.7631,0
91.6392,422.0468,18.7172,1.6896,16.3161,0
91.5208,423.4903,18.8031,1.6789,17.5145,0
91.4077,424.9805,18.8712,1.6676,17.9519,0
91.3372,425.9954,18.9045,1.6610,18.2327,0
91.2835,427.0230,18.9297,1.6532,18.4877,0
91.2243,428.0657,18.9726,1.6461,18.5706,0
91.1921,429.1154,19.0009,1.6385,18.7011,0
91.1541,430.1741,19.0460,1.6310,19.0392,0
91.1308,431.2482,19.1055,1.6236,19.1209,0
91.1199,432.3179,19.1680,1.6156,19.1151,0
91.1001,433.3989,19.2429,1.6082,19.1259,0
91.1046,434.4713,19.2890,1.6003,19.0470,0
91.1071,435.5200,19.3499,1.5929,18.5502,0
91.1257,436.5845,19.4252,1.5863,19.2062,0
91.1426,437.6711,19.5085,1.5814,19.4422,0
91.1621,438.7270,19.5792,1.5764,18.6757,0
91.1938,439.7736,19.6318,1.5723,18.6368,0
91.2324,440.8248,19.6925,1.5694,18.7559,0
91.2674,441.8731,19.7642,1.5689,18.6501,0
91.2967,442.9452,19.8484,1.5688,19.1024,0
91.3315,444.0089,19.9099,1.5693,18.8531,0
91.3778,445.0452,19.9780,1.5699,18.4527,0
91.4059,446.0842,20.0530,1.5705,18.2818,0
91.4306,447.0967,20.1346,1.5721,17.9927,0
91.4687,448.1142,20.2105,1.5740,18.2496,0
91.5033,449.1358,20.2854,1.5762,18.2268,0
91.5247,450.1507,20.3567,1.5784,18.0064,0
91.5495,451.1563,20.4051,1.5785,17.8637,0
91.5905,452.1694,20.4729,1.5791,18.1790,0
91.6189,453.1887,20.5552,1.5779,18.2000,0
91.6407,454.2213,20.6372,1.5770,18.6169,0
91.6625,455.2816,20.7154,1.5763,18.9531,0
91.6983,456.3613,20.7590,1.5754,19.3601,0
91.7255,457.4697,20.8399,1.5737,20.0522,0
