x,y,z,yaw,velocity,change_flag
98.8297,503.7910,25.7680,1.4844,0,0
98.9622,504.8018,25.8605,1.4988,4.6443,0
99.0569,505.9749,25.9506,1.5420,6.8368,0
99.0895,507.0510,26.0299,1.5946,8.7156,0
99.0842,508.0861,26.1041,1.6470,9.5567,0
98.9898,509.2202,26.1552,1.7071,10.6105,0
98.8039,510.4503,26.1626,1.7708,11.3649,0
98.5918,511.7376,26.1630,1.8403,12.1674,0
98.3113,512.7296,26.1368,1.8808,12.4232,0
98.0107,513.7665,26.1498,1.9076,12.9566,0
97.7036,514.7898,26.1261,1.9279,12.6026,0
97.3822,515.8010,26.1047,1.9352,12.8064,0
97.0395,516.8398,26.0709,1.9225,13.3904,0
96.6464,517.9316,26.1418,1.8963,13.9304,0
96.3692,519.0178,26.1168,1.8629,13.1053,0
96.0869,520.1295,26.1157,1.8253,13.8790,0
95.8329,521.2878,26.1232,1.7865,14.3406,0
95.6452,522.4655,26.1246,1.7504,14.0229,0
95.4621,523.6163,26.1585,1.7128,14.0334,0
95.3417,524.7755,26.2069,1.6776,13.8960,0
95.2603,525.9282,26.2649,1.6482,13.6011,0
95.2134,527.0468,26.3231,1.6226,13.1887,0
95.2047,528.1302,26.3811,1.6027,12.7719,0
95.2123,529.1859,26.4275,1.5868,12.3417,0
95.2304,530.2034,26.5032,1.5757,11.9609,0
95.2704,531.4833,26.5804,1.5669,11.4641,0
95.3199,532.7111,26.6676,1.5666,10.5583,0
95.3600,533.8641,26.7451,1.5660,10.0256,0
95.3929,534.9227,26.8240,1.5657,9.3661,0
95.4434,535.9506,26.8877,1.5655,9.0981,0
95.4738,537.1376,26.9685,1.5657,8.6410,0
95.5152,538.2531,27.0627,1.5649,7.5625,0
95.5528,539.4169,27.1519,1.5635,6.3027,0
95.5933,540.5124,27.2409,1.5631,3.6148,0
95.6387,541.5164,27.3032,1.5638,3.1659,0
95.6880,542.5679,27.3860,1.5646,5.8382,0
95.7364,543.7822,27.4733,1.5660,8.2503,0
95.7864,544.7975,27.5445,1.5702,9.6896,0
95.8189,545.9833,27.6207,1.5786,10.8989,0
95.8394,547.2747,27.7188,1.5895,12.1858,0
95.8481,548.3078,27.7717,1.6007,12.4325,0
95.8457,549.3652,27.8611,1.6143,12.7350,0
95.8194,550.4968,27.8963,1.6311,13.5877,0
95.7922,551.6505,27.9178,1.6517,13.8500,0
95.7286,552.8110,27.9722,1.6793,13.5569,0
95.6337,553.9598,27.9973,1.7099,13.9463,0
95.4982,555.1138,28.0043,1.7505,13.8298,0
95.3170,556.2681,27.9873,1.7935,13.7982,0
95.0895,557.3763,27.9969,1.8411,13.6351,0
94.8253,558.4701,27.9329,1.8876,13.5377,0
94.5412,559.5367,27.9416,1.9401,12.8760,0
94.1533,560.5699,27.8981,1.9870,12.9270,0
93.8097,561.6112,27.7994,2.0448,12.9479,0
93.3255,562.6075,27.7178,2.1052,13.1484,0
92.7681,563.4793,27.6692,2.1637,12.1561,0
92.2598,564.3784,27.5548,2.2294,12.3621,0
91.6346,565.1848,27.4578,2.2969,12.0858,0
90.7855,566.1282,27.2954,2.3908,10.9881,0
89.8866,566.9728,27.1710,2.4872,11.3486,0
88.8844,567.7256,27.0248,2.5786,11.4710,0
87.8151,568.4301,26.8250,2.6756,12.0190,0
86.9410,568.9173,26.6917,2.7521,12.0965,0
86.0369,569.3601,26.5101,2.8315,11.9392,0
85.0776,569.6717,26.3318,2.9047,12.5060,0
84.0025,569.9658,26.1284,2.9634,13.7336,0
82.9703,570.2238,25.9306,3.0048,12.6397,0
81.9337,570.3979,25.7249,3.0334,12.6553,0
80.8794,570.5806,25.5284,3.0545,13.0647,0
79.8201,570.7121,25.3239,3.0711,12.6892,0
78.7947,570.8530,25.1112,3.0868,12.6892,0
77.7078,570.9479,24.9052,3.0981,13.1043,0
76.6337,571.0413,24.7112,3.1079,13.0790,0
75.5574,571.1370,24.5650,3.1151,12.8231,0
74.4380,571.2371,24.3432,3.1169,13.6462,0
73.3627,571.3503,24.1261,3.1197,13.0244,0
72.2437,571.3794,24.0079,3.1199,13.4004,0
71.1579,571.4716,23.7627,3.1200,13.1078,0
70.0355,571.5504,23.5539,3.1218,14.0528,0
68.9156,571.6321,23.4014,3.1238,13.2636,0
67.8048,571.6967,23.1889,3.1271,13.3484,0
66.7056,571.7643,23.0004,3.1311,13.3837,0
65.5812,571.8120,22.8306,3.1358,13.5584,0
64.4663,571.8884,22.5637,3.1401,13.2915,0
63.3682,571.9340,22.4484,-3.1407,12.7291,0
62.0587,571.9775,22.1542,-3.1376,12.3181,0
60.7902,572.0919,21.8554,-3.1173,11.6064,0
59.5610,572.0815,21.7116,-3.0836,10.7753,0
58.4986,572.1170,21.4193,-3.0340,9.2379,0
57.4002,572.0312,21.2563,-2.9692,6.6420,0
56.3261,571.9002,21.1058,-2.8767,5.8361,0
55.2643,571.5356,20.9824,-2.7221,4.9386,0
54.3518,571.0711,20.8065,-2.5492,3.2735,0
55.2518,571.6962,20.9219,-2.5208,4.0212,0
56.1195,572.2610,21.0807,-2.4273,2.5106,0
