PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE
1,,,4.5872,98.0048,86.6022,1,,,
2,,,4.4945,97.9311,85.5343,1,,,
3,,,4.3629,97.6119,84.391,1,,,
4,,,4.2753,97.1498,83.4157,1,,,
5,,,4.1896,96.4473,82.3907,1,,,
6,,,4.1559,95.6859,81.6131,1,,,
7,,,4.1366,94.7056,80.8378,1,,,
8,,,4.1374,93.5675,80.1323,1,,,
9,,,4.1456,92.5957,79.6246,1,,,
10,,,4.1556,91.5275,79.2099,1,,,
11,,,4.2055,90.4292,78.848,1,,,
12,,,4.2629,89.2183,78.4999,1,,,
13,,,4.3324,87.9678,78.2194,1,,,
14,,,4.4224,86.6556,77.9533,1,,,
15,,,4.4763,85.3242,77.7286,1,,,
16,,,4.5563,83.9381,77.5201,1,,,
17,,,4.6687,82.5483,77.3204,1,,,
18,,,4.7605,81.1448,77.1342,1,,,
19,,,4.8501,79.7366,76.9502,1,,,
20,,,4.9411,78.3294,76.7844,1,,,
21,,,5.0394,76.9272,76.6091,1,,,
22,,,5.1378,75.5041,76.4301,1,,,
23,,,5.2416,74.0485,76.2441,1,,,
24,,,5.3209,72.6017,76.0444,1,,,
25,,,5.4286,71.1553,75.8778,1,,,
26,,,5.5083,70.1627,75.7556,1,,,
27,,,5.604,68.7325,75.5624,1,,,
28,,,5.6964,67.2905,75.3715,1,,,
29,,,5.7912,65.8314,75.173,1,,,
30,,,5.8923,64.3553,74.9863,1,,,
31,,,5.9922,62.8634,74.78,1,,,
32,,,6.0706,61.8564,74.6418,1,,,
33,,,6.1368,60.8495,74.5107,1,,,
34,,,6.2035,59.8416,74.364,1,,,
35,,,6.304,58.36,74.1606,1,,,
36,,,6.3701,57.3633,74.0277,1,,,
37,,,6.484,55.8903,73.8166,1,,,
38,,,6.5758,54.4212,73.6061,1,,,
39,,,6.6908,52.9708,73.3947,1,,,
40,,,6.8011,51.548,73.1984,1,,,
41,,,6.9058,50.1216,72.9992,1,,,
42,,,7.022,48.7565,72.8194,1,,,
43,,,7.1169,47.3918,72.6354,1,,,
44,,,7.2237,46.0346,72.348,1,,,
45,,,7.3061,44.6551,72.0714,1,,,
46,,,7.3892,43.2196,71.7582,1,,,
47,,,7.4533,41.7477,71.4303,1,,,
48,,,7.5121,40.7543,71.2028,1,,,
49,,,7.594,39.3821,70.7801,1,,,
50,,,7.6352,38.0209,70.3363,1,,,
51,,,7.6821,37.0724,70.0191,1,,,
52,,,7.7187,35.7155,69.511,1,,,
53,,,7.7257,34.4036,68.9862,1,,,
54,,,7.7676,33.0893,68.4052,1,,,
55,,,7.779,31.7868,67.8123,1,,,
56,,,7.7687,30.4832,67.1392,1,,,
57,,,7.7482,29.1671,66.444,1,,,
58,,,7.7383,27.8842,65.7004,1,,,
59,,,7.7166,26.6457,64.9517,1,,,
60,,,7.6835,25.4503,64.1705,1,,,
61,,,7.6431,24.3177,63.3892,1,,,
62,,,7.5963,23.2335,62.5965,1,,,
63,,,7.5744,22.2412,61.8421,1,,,
64,,,7.5286,21.3454,61.1236,1,,,
65,,,7.452,20.3278,60.2936,1,,,
66,,,7.4368,19.4546,59.5301,1,,,
67,,,7.3717,18.6355,58.7955,1,,,
68,,,7.3156,17.8431,58.066,1,,,
69,,,7.2464,17.0763,57.3076,1,,,
70,,,7.1785,16.2686,56.4837,1,,,
71,,,7.0927,15.4488,55.5398,1,,,
72,,,6.9948,14.684,54.5926,1,,,
73,,,6.9055,13.8875,53.5281,1,,,
74,,,6.8186,13.2983,52.6221,1,,,
75,,,6.7088,12.6939,51.6529,1,,,
76,,,6.6211,12.0737,50.6319,1,,,
77,,,6.5317,11.4863,49.5607,1,,,
78,,,6.4269,10.8483,48.5089,1,,,
79,,,6.3083,10.2541,47.4314,1,,,
80,,,6.2374,9.6151,46.3871,1,,,
81,,,6.1389,8.9727,45.3044,1,,,
82,,,6.0511,8.2794,44.246,1,,,
83,,,5.9633,7.5044,43.2644,1,,,
84,,,5.8927,6.6962,42.2542,1,,,
85,,,5.8185,5.8269,41.3341,1,,,
86,,,5.7393,4.9048,40.4287,1,,,
87,,,5.7078,3.9257,39.6816,1,,,
88,,,5.6619,2.8731,38.9704,1,,,
89,,,5.6577,1.7485,38.3736,1,,,
90,,,5.6631,0.598,37.8886,1,,,
91,,,5.668,-0.6173,37.4535,1,,,
92,,,5.7326,-1.8765,37.2017,1,,,
93,,,5.7988,-3.1447,37.0979,1,,,
94,,,5.8609,-4.4107,37.0743,1,,,
95,,,5.9984,-5.6382,37.1713,1,,,
96,,,6.0967,-6.9404,37.4447,1,,,
97,,,6.2483,-8.1494,37.7952,1,,,
98,,,6.3935,-9.2552,38.2354,1,,,
99,,,6.6077,-10.3521,38.8066,1,,,
100,,,6.7766,-11.3813,39.4595,1,,,
101,,,6.9816,-12.2895,40.1498,1,,,
102,,,7.1798,-13.1383,40.8907,1,,,
103,,,7.3599,-13.9095,41.6838,1,,,
104,,,7.5289,-14.59,42.5206,1,,,
105,,,7.7007,-15.2234,43.4109,1,,,
106,,,7.852,-15.759,44.3403,1,,,
107,,,8.0147,-16.2249,45.2596,1,,,
108,,,8.1493,-16.633,46.227,1,,,
109,,,8.3205,-17.0008,47.2315,1,,,
110,,,8.4956,-17.3327,48.3331,1,,,
111,,,8.6532,-17.659,49.4857,1,,,
112,,,8.8316,-17.9736,50.6676,1,,,
113,,,9.0291,-18.275,51.8548,1,,,
114,,,9.1996,-18.5898,53.1044,1,,,
115,,,9.389,-18.96,54.392,1,,,
116,,,9.5665,-19.3047,55.6926,1,,,
117,,,9.7673,-19.6801,56.9925,1,,,
118,,,9.9766,-20.1464,58.2697,1,,,
119,,,10.163,-20.7073,59.5774,1,,,
120,,,10.4068,-21.34,60.9103,1,,,
121,,,10.5945,-22.009,62.2486,1,,,
122,,,10.727,-22.5388,63.1545,1,,,
123,,,10.8789,-23.0767,64.0471,1,,,
