x,y,z,yaw,velocity,change_flag
86.6022,98.0048,4.5872,-3.0276,0,0
85.5343,97.9311,4.4945,-2.8910,4.9878,0
84.3910,97.6119,4.3629,-2.7159,7.1469,0
83.4157,97.1498,4.2753,-2.5565,8.0141,0
82.3907,96.4473,4.1896,-2.3816,9.5978,0
81.6131,95.6859,4.1559,-2.2401,9.9263,0
80.8378,94.7056,4.1366,-2.1143,11.9639,0
80.1323,93.5675,4.1374,-2.0071,12.3000,0
79.6246,92.5957,4.1456,-1.9342,13.2241,0
79.2099,91.5275,4.1556,-1.8644,13.8183,0
78.8480,90.4292,4.2055,-1.8071,14.0967,0
78.4999,89.2183,4.2629,-1.7618,15.0557,0
78.2194,87.9678,4.3324,-1.7238,15.6459,0
77.9533,86.6556,4.4224,-1.6957,16.0280,0
77.7286,85.3242,4.4763,-1.6752,16.4491,0
77.5201,83.9381,4.5563,-1.6581,16.4667,0
77.3204,82.5483,4.6687,-1.6466,16.8382,0
77.1342,81.1448,4.7605,-1.6408,16.9714,0
76.9502,79.7366,4.8501,-1.6402,17.0462,0
76.7844,78.3294,4.9411,-1.6420,16.8926,0
76.6091,76.9272,5.0394,-1.6438,16.6287,0
76.4301,75.5041,5.1378,-1.6440,17.1783,0
76.2441,74.0485,5.2416,-1.6427,17.6044,0
76.0444,72.6017,5.3209,-1.6426,17.4152,0
75.8778,71.1553,5.4286,-1.6428,17.5875,0
75.7556,70.1627,5.5083,-1.6428,17.6066,0
75.5624,68.7325,5.6040,-1.6451,17.2049,0
75.3715,67.2905,5.6964,-1.6465,17.4133,0
75.1730,65.8314,5.7912,-1.6475,17.5057,0
74.9863,64.3553,5.8923,-1.6489,17.6590,0
74.7800,62.8634,5.9922,-1.6505,18.1401,0
74.6418,61.8564,6.0706,-1.6517,18.1056,0
74.5107,60.8495,6.1368,-1.6532,18.0837,0
74.3640,59.8416,6.2035,-1.6539,18.3197,0
74.1606,58.3600,6.3040,-1.6554,17.7586,0
74.0277,57.3633,6.3701,-1.6565,18.2478,0
73.8166,55.8903,6.4840,-1.6582,17.4785,0
73.6061,54.4212,6.5758,-1.6596,17.6303,0
73.3947,52.9708,6.6908,-1.6628,17.6013,0
73.1984,51.5480,6.8011,-1.6675,16.9434,0
72.9992,50.1216,6.9058,-1.6736,17.5006,0
72.8194,48.7565,7.0220,-1.6813,16.2257,0
72.6354,47.3918,7.1169,-1.6938,16.9739,0
72.3480,46.0346,7.2237,-1.7051,16.5660,0
72.0714,44.6551,7.3061,-1.7210,16.8599,0
71.7582,43.2196,7.3892,-1.7397,17.9314,0
71.4303,41.7477,7.4533,-1.7659,18.2587,0
71.2028,40.7543,7.5121,-1.7848,18.0810,0
70.7801,39.3821,7.5940,-1.8145,16.9015,0
70.3363,38.0209,7.6352,-1.8437,17.4483,0
70.0191,37.0724,7.6821,-1.8647,17.7789,0
69.5110,35.7155,7.7187,-1.8927,16.6521,0
68.9862,34.4036,7.7257,-1.9204,16.8726,0
68.4052,33.0893,7.7676,-1.9494,16.8841,0
67.8123,31.7868,7.7790,-1.9767,17.2385,0
67.1392,30.4832,7.7687,-2.0061,17.3982,0
66.4440,29.1671,7.7482,-2.0332,17.9698,0
65.7004,27.8842,7.7383,-2.0590,17.4461,0
64.9517,26.6457,7.7166,-2.0860,17.0569,0
64.1705,25.4503,7.6835,-2.1120,16.7529,0
63.3892,24.3177,7.6431,-2.1374,16.2962,0
62.5965,23.2335,7.5963,-2.1589,15.6563,0
61.8421,22.2412,7.5744,-2.1795,14.4176,0
61.1236,21.3454,7.5286,-2.1990,13.4960,0
60.2936,20.3278,7.4520,-2.2241,11.5505,0
59.5301,19.4546,7.4368,-2.2422,9.2730,0
58.7955,18.6355,7.3717,-2.2617,7.2553,0
58.0660,17.8431,7.3156,-2.2805,3.4398,0
57.3076,17.0763,7.2464,-2.2999,3.7621,0
56.4837,16.2686,7.1785,-2.3356,7.4192,0
55.5398,15.4488,7.0927,-2.3851,9.8719,0
54.5926,14.6840,6.9948,-2.4354,11.3553,0
53.5281,13.8875,6.9055,-2.4890,12.4438,0
52.6221,13.2983,6.8186,-2.5257,13.0014,0
51.6529,12.6939,6.7088,-2.5516,13.8937,0
50.6319,12.0737,6.6211,-2.5673,14.3832,0
49.5607,11.4863,6.5317,-2.5689,14.5245,0
48.5089,10.8483,6.4269,-2.5618,14.8414,0
47.4314,10.2541,6.3083,-2.5467,14.6158,0
46.3871,9.6151,6.2374,-2.5254,14.6179,0
45.3044,8.9727,6.1389,-2.4961,15.4805,0
44.2460,8.2794,6.0511,-2.4531,14.9308,0
43.2644,7.5044,5.9633,-2.4012,15.0915,0
42.2542,6.6962,5.8927,-2.3388,15.4309,0
41.3341,5.8269,5.8185,-2.2729,15.3348,0
40.4287,4.9048,5.7393,-2.1974,15.0802,0
