x,y,z,yaw,velocity,change_flag
380.3302,-112.6206,71.5168,-2.9679,0,0
379.3129,-112.7242,71.3070,-2.9876,3.3482,0
378.2352,-112.8313,71.0654,-3.0376,4.6788,0
377.0744,-112.8870,70.7733,-3.0640,6.1603,0
376.0015,-112.9093,70.5241,-3.0662,7.0385,0
374.8410,-112.9400,70.2395,-3.0663,6.7296,0
373.7268,-112.9632,69.9807,-3.0635,6.5289,0
372.6324,-112.9803,69.7106,-3.0610,5.4051,0
371.5351,-113.0126,69.4137,-3.0581,5.6059,0
370.5048,-113.0276,69.1536,-3.0563,7.0057,0
369.4972,-113.0801,68.9220,-3.0546,7.7444,0
368.3768,-113.1336,68.6336,-3.0449,8.9546,0
367.3519,-113.2028,68.3527,-3.0247,9.6585,0
366.2271,-113.2990,68.0989,-2.9857,10.8705,0
365.0437,-113.4432,67.8391,-2.9254,10.8195,0
363.8634,-113.6660,67.6070,-2.8557,11.1327,0
362.6660,-113.9697,67.3709,-2.7663,10.9832,0
361.5524,-114.3781,67.2197,-2.6539,10.5301,0
360.5070,-114.9286,67.0329,-2.5299,11.0746,0
359.5069,-115.5592,66.8930,-2.3911,10.3294,0
358.6081,-116.3769,66.7762,-2.2380,11.0594,0
357.8032,-117.3611,66.6363,-2.0786,11.6706,0
357.1522,-118.5196,66.5434,-1.9162,12.1726,0
356.7934,-119.5326,66.4783,-1.8022,12.8696,0
356.5139,-120.6146,66.4156,-1.7045,13.4261,0
356.3228,-121.8071,66.3882,-1.6322,14.9726,0
356.2094,-123.1139,66.3523,-1.5858,15.7489,0
356.1420,-124.4591,66.3391,-1.5489,15.9810,0
356.1127,-125.9064,66.3291,-1.5229,17.6589,0
356.1078,-127.4088,66.3208,-1.5079,17.9661,0
356.1257,-128.4534,66.3171,-1.5003,19.0159,0
356.1430,-129.5311,66.3189,-1.4942,19.3501,0
356.1576,-130.6143,66.3499,-1.4907,19.4968,0
356.1804,-131.7155,66.3596,-1.4881,19.8272,0
356.2125,-132.8526,66.3416,-1.4867,20.4997,0
356.2593,-133.9951,66.3498,-1.4847,20.3163,0
356.2842,-135.1685,66.3454,-1.4828,21.0088,0
356.3078,-136.3609,66.3396,-1.4810,21.2152,0
356.3504,-137.5583,66.3624,-1.4795,21.3633,0
356.4066,-138.7677,66.3772,-1.4774,21.6765,0
356.4616,-140.0223,66.3772,-1.4775,22.6394,0
356.4967,-141.2775,66.3773,-1.4781,22.6108,0
356.5499,-142.5377,66.3809,-1.4782,22.6737,0
356.5908,-143.8046,66.3953,-1.4779,22.6131,0
356.6212,-145.1177,66.4151,-1.4788,23.5563,0
356.6606,-146.4221,66.4045,-1.4788,23.2047,0
356.7081,-147.7177,66.4219,-1.4789,22.9092,0
356.7452,-149.0309,66.4509,-1.4790,23.5132,0
356.7898,-150.3597,66.4482,-1.4789,23.9804,0
356.8338,-151.7169,66.4479,-1.4783,24.4658,0
356.8804,-153.0730,66.4629,-1.4777,24.1547,0
356.9265,-154.4251,66.4892,-1.4770,24.3280,0
356.9750,-155.7841,66.5148,-1.4758,24.1800,0
357.0266,-157.1524,66.5177,-1.4742,24.5495,0
357.0812,-158.5218,66.5129,-1.4728,24.4071,0
357.1332,-159.9050,66.5480,-1.4710,24.7305,0
357.1752,-161.2985,66.5621,-1.4703,25.1229,0
357.2356,-162.6760,66.5847,-1.4712,24.2290,0
357.2899,-164.0479,66.6439,-1.4725,24.6805,0
357.3569,-165.4437,66.6261,-1.4725,24.8403,0
357.3978,-166.8244,66.6441,-1.4726,24.5399,0
357.4439,-168.1863,66.6840,-1.4742,24.2708,0
357.5104,-169.5652,66.6790,-1.4769,24.7480,0
357.5578,-170.9484,66.7106,-1.4792,24.7827,0
357.5974,-172.3314,66.7251,-1.4814,24.6220,0
357.6312,-173.7141,66.7349,-1.4823,24.9278,0
357.6755,-175.1067,66.7578,-1.4818,24.9353,0
357.7208,-176.4903,66.7833,-1.4828,24.9483,0
357.7563,-177.8754,66.8065,-1.4838,24.5513,0
357.7885,-179.2768,66.8239,-1.4860,25.1908,0
357.8273,-180.6749,66.8240,-1.4877,24.8837,0
357.8763,-182.0831,66.8589,-1.4888,25.0905,0
357.9187,-183.4708,66.8731,-1.4890,24.8780,0
357.9346,-184.8801,66.9004,-1.4905,25.1663,0
357.9724,-186.2778,66.9248,-1.4901,25.0896,0
358.0004,-187.6780,66.9174,-1.4893,25.0430,0
358.0305,-189.0697,66.9520,-1.4873,24.9643,0
358.0693,-190.4707,66.9551,-1.4850,25.1064,0
358.1043,-191.8744,66.9845,-1.4829,25.1714,0
358.1636,-193.2824,67.0013,-1.4808,25.2766,0
358.2114,-194.6945,67.0431,-1.4780,25.1251,0
358.2613,-196.1045,67.0684,-1.4749,25.1427,0
358.3156,-197.4858,67.0976,-1.4704,24.5003,0
358.3635,-198.8580,67.1284,-1.4644,24.4990,0
358.4445,-200.2321,67.1588,-1.4596,24.5193,0
358.5144,-201.6200,67.1721,-1.4541,24.8971,0
