PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
1,0,0,136.668,-610.9125,589.8988,1,0,0,0
2,0,0,136.4246,-611.0412,588.8265,1,0,0,0
3,0,0,136.154,-611.212,587.6066,1,0,0,0
4,0,0,135.8489,-611.4214,586.3296,1,0,0,0
5,0,0,135.635,-611.5844,585.2614,1,0,0,0
6,0,0,135.3537,-611.7599,584.1564,1,0,0,0
7,0,0,135.0725,-611.9297,582.9813,1,0,0,0
8,0,0,134.8139,-612.1093,581.7789,1,0,0,0
9,0,0,134.4821,-612.2608,580.5345,1,0,0,0
10,0,0,134.2163,-612.3911,579.2558,1,0,0,0
11,0,0,133.9217,-612.4866,577.9446,1,0,0,0
12,0,0,133.5366,-612.5904,576.6127,1,0,0,0
13,0,0,133.2397,-612.6047,575.2316,1,0,0,0
14,0,0,132.8913,-612.6537,573.8272,1,0,0,0
15,0,0,132.5586,-612.6407,572.4046,1,0,0,0
16,0,0,132.1771,-612.5919,570.952,1,0,0,0
17,0,0,131.8035,-612.5334,569.4912,1,0,0,0
18,0,0,131.4426,-612.431,567.9929,1,0,0,0
19,0,0,131.2069,-612.3234,566.9926,1,0,0,0
20,0,0,130.8409,-612.1711,565.5288,1,0,0,0
21,0,0,130.5771,-612.0659,564.523,1,0,0,0
22,0,0,130.3197,-611.9319,563.5055,1,0,0,0
23,0,0,130.0423,-611.7935,562.4803,1,0,0,0
24,0,0,129.762,-611.6642,561.4206,1,0,0,0
25,0,0,129.4777,-611.5059,560.3366,1,0,0,0
26,0,0,129.1805,-611.3113,559.2114,1,0,0,0
27,0,0,128.8835,-611.1332,558.0662,1,0,0,0
28,0,0,128.5457,-610.9413,556.911,1,0,0,0
29,0,0,128.227,-610.7347,555.6929,1,0,0,0
30,0,0,127.8974,-610.5347,554.5029,1,0,0,0
31,0,0,127.5725,-610.3307,553.3381,1,0,0,0
32,0,0,127.2392,-610.1226,552.1162,1,0,0,0
33,0,0,126.9038,-609.8927,550.8707,1,0,0,0
34,0,0,126.5503,-609.6794,549.6248,1,0,0,0
35,0,0,126.2064,-609.4548,548.3683,1,0,0,0
36,0,0,125.8578,-609.2223,547.1108,1,0,0,0
37,0,0,125.5152,-609.0063,545.8394,1,0,0,0
38,0,0,125.173,-608.7795,544.5329,1,0,0,0
39,0,0,124.7969,-608.549,543.2186,1,0,0,0
40,0,0,124.4502,-608.3097,541.8665,1,0,0,0
41,0,0,124.116,-608.0851,540.5121,1,0,0,0
42,0,0,123.7223,-607.8514,539.164,1,0,0,0
43,0,0,123.3488,-607.6304,537.8264,1,0,0,0
44,0,0,123.0158,-607.3945,536.4435,1,0,0,0
45,0,0,122.6183,-607.1538,535.0808,1,0,0,0
46,0,0,122.2134,-606.9191,533.7257,1,0,0,0
47,0,0,121.8491,-606.6819,532.3289,1,0,0,0
48,0,0,121.4725,-606.4604,530.9227,1,0,0,0
49,0,0,121.066,-606.217,529.5207,1,0,0,0
50,0,0,120.6567,-606.0013,528.1199,1,0,0,0
51,0,0,120.2851,-605.7829,526.7171,1,0,0,0
52,0,0,119.9092,-605.5552,525.3018,1,0,0,0
53,0,0,119.5065,-605.3383,523.8683,1,0,0,0
54,0,0,119.1084,-605.1293,522.4391,1,0,0,0
55,0,0,118.6888,-604.9058,521.0019,1,0,0,0
56,0,0,118.2916,-604.688,519.5461,1,0,0,0
57,0,0,117.8936,-604.4797,518.0831,1,0,0,0
58,0,0,117.4759,-604.2672,516.6229,1,0,0,0
59,0,0,117.0923,-604.0647,515.1703,1,0,0,0
60,0,0,116.6759,-603.8611,513.6869,1,0,0,0
61,0,0,116.2479,-603.6619,512.2191,1,0,0,0
62,0,0,115.8329,-603.465,510.7288,1,0,0,0
63,0,0,115.4438,-603.2734,509.218,1,0,0,0
64,0,0,115.0516,-603.0637,507.7273,1,0,0,0
65,0,0,114.6224,-602.873,506.217,1,0,0,0
66,0,0,114.195,-602.6985,504.6931,1,0,0,0
67,0,0,113.7612,-602.5483,503.134,1,0,0,0
68,0,0,113.3814,-602.4039,501.5844,1,0,0,0
69,0,0,112.9556,-602.2697,500.0101,1,0,0,0
70,0,0,112.5369,-602.1652,498.4204,1,0,0,0
71,0,0,112.1137,-602.0875,496.8206,1,0,0,0
72,0,0,111.6708,-602.0583,495.1966,1,0,0,0
