x,y,z,yaw,velocity,change_flag
138.9127,565.3613,36.4797,3.1356,0,0
137.8517,565.4494,36.2720,-3.1298,6.1644,0
136.6658,565.4595,36.0597,-3.0928,7.9218,0
135.4972,565.4386,35.8640,-3.0558,8.7669,0
134.4208,565.3879,35.6652,-3.0271,10.4758,0
133.2376,565.2711,35.4435,-2.9988,11.1461,0
131.9617,565.1357,35.2041,-2.9747,11.9526,0
130.8938,564.9868,35.0040,-2.9683,13.2244,0
129.7979,564.8514,34.8046,-2.9723,13.4557,0
128.6416,564.7100,34.6120,-2.9792,14.1660,0
127.4737,564.5894,34.3939,-2.9920,14.3469,0
126.2674,564.4745,34.1810,-3.0123,14.6702,0
125.0369,564.3798,33.9559,-3.0341,15.2207,0
123.8244,564.3192,33.7489,-3.0564,14.6070,0
122.6461,564.2836,33.5457,-3.0752,14.1413,0
121.5112,564.2645,33.3286,-3.0884,13.4191,0
120.4415,564.2540,33.1340,-3.1001,12.9467,0
119.1204,564.2675,32.9002,-3.1119,11.7801,0
117.8736,564.3109,32.6809,-3.1194,10.6911,0
116.7286,564.3361,32.4846,-3.1255,10.0943,0
115.6443,564.3711,32.2873,-3.1313,9.4453,0
114.6302,564.4147,32.1056,-3.1362,8.8029,0
113.5340,564.4543,31.9038,3.1410,7.2835,0
112.3768,564.5139,31.6915,3.1353,6.4254,0
111.3096,564.5760,31.4814,3.1300,5.0566,0
110.2482,564.6439,31.2773,3.1255,3.1649,0
109.1579,564.7183,31.0889,3.1329,4.1992,0
108.0689,564.7953,30.8901,-3.1203,5.8670,0
106.9143,564.8322,30.6713,-3.0637,7.9006,0
105.6940,564.7703,30.4441,-2.9868,9.4501,0
104.5431,564.6188,30.2254,-2.9019,10.5884,0
103.3232,564.3492,29.9730,-2.8049,12.2333,0
102.3463,564.0285,29.8083,-2.7243,12.4621,0
101.3429,563.5914,29.5953,-2.6325,13.3381,0
100.3591,563.0181,29.3585,-2.5392,14.0935,0
99.3265,562.3467,29.1382,-2.4405,15.3195,0
98.3072,561.5421,28.9210,-2.3375,16.2088,0
97.3173,560.5687,28.7100,-2.2464,16.5548,0
96.4302,559.5258,28.4168,-2.1558,17.1942,0
95.5788,558.2893,28.1603,-2.0653,18.2788,0
94.8265,556.9850,27.9021,-1.9706,18.4981,0
94.3492,556.0527,27.7595,-1.9087,18.9243,0
93.9599,555.0876,27.6000,-1.8497,18.6299,0
93.5943,554.0984,27.4800,-1.7915,19.2209,0
93.2917,553.0268,27.3474,-1.7379,20.2741,0
93.0132,551.9333,27.1914,-1.6916,20.1155,0
92.7704,550.8625,27.0662,-1.6539,19.5585,0
92.6044,549.7803,26.9882,-1.6225,19.7558,0
92.4778,548.6642,26.8738,-1.5957,20.4639,0
92.3777,547.5218,26.7801,-1.5729,20.4685,0
92.2861,546.3953,26.7029,-1.5559,20.1309,0
92.2281,545.2369,26.6096,-1.5468,20.9443,0
92.1876,544.0516,26.5148,-1.5427,21.3589,0
92.1400,542.8686,26.4241,-1.5401,21.1436,0
92.1079,541.6644,26.3464,-1.5385,21.4820,0
92.0720,540.4636,26.2648,-1.5382,21.6016,0
92.0103,539.2352,26.1743,-1.5373,22.2713,0
91.9587,537.9890,26.0858,-1.5379,22.3785,0
91.9181,536.7199,26.0062,-1.5391,22.6014,0
91.8867,535.4635,25.9111,-1.5397,22.5214,0
91.8347,534.1943,25.8159,-1.5396,22.8393,0
91.7798,532.9104,25.7189,-1.5395,22.9981,0
91.7400,531.6115,25.6403,-1.5406,23.2460,0
91.7098,530.3002,25.5271,-1.5411,23.6503,0
91.6577,528.9799,25.4362,-1.5411,23.6780,0
